Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
60738265,03/31/2024 09:25:02 PM,04/01/2024 12:04:10 PM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,11374,99-43 64 ROAD,64 ROAD,99 STREET,102 STREET,99 STREET,102 STREET,ADDRESS,REGO PARK,64 ROAD,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/01/2024 12:04:14 PM,06 QUEENS,4021130055,QUEENS,1024630,205554,ONLINE,Unspecified,QUEENS,,,,,,,,40.73078275144825,-73.85430412776162,"(40.73078275144825, -73.85430412776162)"
60735562,03/31/2024 07:19:12 PM,04/04/2024 01:42:44 PM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,11235,63 BRIGHTON   11 STREET,BRIGHTON   11 STREET,CASS PLACE,OCEAN VIEW AVENUE,CASS PLACE,OCEAN VIEW AVENUE,ADDRESS,BROOKLYN,BRIGHTON   11 STREET,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/04/2024 01:42:48 PM,13 BROOKLYN,3087110097,BROOKLYN,996235,151004,PHONE,Unspecified,BROOKLYN,,,,,,,,40.58113905959043,-73.95685359548297,"(40.58113905959043, -73.95685359548297)"
60736478,03/31/2024 06:47:33 PM,04/02/2024 09:44:48 PM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,11201,151 CLINTON STREET,CLINTON STREET,SCHERMERHORN STREET,STATE STREET,SCHERMERHORN STREET,STATE STREET,ADDRESS,BROOKLYN,CLINTON STREET,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/02/2024 09:44:51 PM,02 BROOKLYN,3002700030,BROOKLYN,985977,191185,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.69143526509034,-73.9937724574167,"(40.69143526509034, -73.9937724574167)"
60735560,03/31/2024 06:37:21 PM,04/01/2024 12:16:22 PM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,11360,18-75 CORPORAL KENNEDY STREET,CORPORAL KENNEDY STREET,18 AVENUE,23 AVENUE,18 AVENUE,23 AVENUE,ADDRESS,BAYSIDE,CORPORAL KENNEDY STREET,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/01/2024 12:16:26 PM,07 QUEENS,4058780050,QUEENS,1044180,223494,ONLINE,Unspecified,QUEENS,,,,,,,,40.77991248075236,-73.78360572475445,"(40.77991248075236, -73.78360572475445)"
60735561,03/31/2024 06:30:10 PM,04/01/2024 12:16:18 PM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,11360,18-75 CORPORAL KENNEDY STREET,CORPORAL KENNEDY STREET,18 AVENUE,23 AVENUE,18 AVENUE,23 AVENUE,ADDRESS,BAYSIDE,CORPORAL KENNEDY STREET,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/01/2024 12:16:21 PM,07 QUEENS,4058780050,QUEENS,1044180,223494,ONLINE,Unspecified,QUEENS,,,,,,,,40.77991248075236,-73.78360572475445,"(40.77991248075236, -73.78360572475445)"
60738264,03/31/2024 03:07:20 PM,04/01/2024 01:05:24 PM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,10467,3250 PERRY AVENUE,PERRY AVENUE,EAST  207 STREET,HOLT PLACE,EAST  207 STREET,HOLT PLACE,ADDRESS,BRONX,PERRY AVENUE,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/01/2024 01:05:27 PM,07 BRONX,2033470001,BRONX,1018475,258386,ONLINE,Unspecified,BRONX,,,,,,,,40.87581786325145,-73.87624275879938,"(40.87581786325145, -73.87624275879938)"
60727171,03/30/2024 03:08:14 PM,04/01/2024 01:04:49 PM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,10459,985 BRUCKNER BOULEVARD,BRUCKNER BOULEVARD,BARRETTO STREET,SHERIDAN BLVD NB EN HUNTS PT AV,BARRETTO STREET,SHERIDAN BLVD NB EN HUNTS PT AV,ADDRESS,BRONX,BRUCKNER BOULEVARD,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/01/2024 01:04:54 PM,02 BRONX,2027350028,BRONX,1014402,237986,PHONE,Unspecified,BRONX,,,,,,,,40.81984077770232,-73.89106240487143,"(40.81984077770232, -73.89106240487143)"
60727170,03/30/2024 02:19:58 PM,04/06/2024 09:13:53 PM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,11201,209 SMITH STREET,SMITH STREET,BALTIC STREET,BUTLER STREET,BALTIC STREET,BUTLER STREET,ADDRESS,BROOKLYN,SMITH STREET,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/06/2024 09:13:56 PM,06 BROOKLYN,3004037504,BROOKLYN,986509,188716,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68465830701271,-73.99185489925753,"(40.68465830701271, -73.99185489925753)"
60730002,03/30/2024 02:02:55 PM,04/02/2024 09:18:39 PM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,11208,656 JAMAICA AVENUE,JAMAICA AVENUE,NORWOOD AVENUE,LOGAN STREET,NORWOOD AVENUE,LOGAN STREET,ADDRESS,BROOKLYN,JAMAICA AVENUE,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/02/2024 09:18:42 PM,05 BROOKLYN,3041010014,BROOKLYN,1017575,189406,PHONE,Unspecified,BROOKLYN,,,,,,,,40.68648975125557,-73.87983929963622,"(40.68648975125557, -73.87983929963622)"
60730001,03/30/2024 01:34:10 PM,04/01/2024 09:00:36 PM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,10472,1065 STRATFORD AVENUE,STRATFORD AVENUE,BRUCKNER BOULEVARD,WATSON AVENUE,BRUCKNER BOULEVARD,WATSON AVENUE,ADDRESS,BRONX,STRATFORD AVENUE,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/01/2024 09:00:39 PM,09 BRONX,2037170039,BRONX,1018931,240114,PHONE,Unspecified,BRONX,,,,,,,,40.82566490888394,-73.87468838767994,"(40.82566490888394, -73.87468838767994)"
60727155,03/30/2024 12:33:49 PM,03/30/2024 07:54:25 PM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,10039,130 BRADHURST AVENUE,BRADHURST AVENUE,WEST  148 STREET,WEST  149 STREET,WEST  148 STREET,WEST  149 STREET,ADDRESS,NEW YORK,BRADHURST AVENUE,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/30/2024 07:54:27 PM,10 MANHATTAN,1020457503,MANHATTAN,1000524,240061,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.82557253312548,-73.94119783727703,"(40.82557253312548, -73.94119783727703)"
60717894,03/29/2024 01:59:35 PM,04/02/2024 09:20:01 PM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,11206,695 FLUSHING AVENUE,FLUSHING AVENUE,WHIPPLE STREET,THORNTON STREET,WHIPPLE STREET,THORNTON STREET,ADDRESS,BROOKLYN,FLUSHING AVENUE,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/02/2024 09:20:05 PM,01 BROOKLYN,3022740021,BROOKLYN,999426,194434,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.70034017091679,-73.9452682014451,"(40.70034017091679, -73.9452682014451)"
60725309,03/29/2024 12:43:09 PM,04/06/2024 09:04:08 PM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,11201,MYRTLE AVENUE,MYRTLE AVENUE,MYRTLE AVENUE,PRINCE STREET,MYRTLE AVENUE,PRINCE STREET,INTERSECTION,,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/06/2024 09:04:12 PM,02 BROOKLYN,,BROOKLYN,989100,191977,PHONE,Unspecified,BROOKLYN,,,,,,,,40.69360796164117,-73.98251038451554,"(40.69360796164117, -73.98251038451554)"
60722109,03/29/2024 12:40:13 PM,03/30/2024 05:57:57 AM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,11414,151-18 79 STREET,79 STREET,151 AVENUE,153 AVENUE,151 AVENUE,153 AVENUE,ADDRESS,HOWARD BEACH,79 STREET,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/30/2024 05:58:00 AM,10 QUEENS,4114257502,QUEENS,1024359,182291,PHONE,Unspecified,QUEENS,,,,,,,,40.66693256637618,-73.85542046243157,"(40.66693256637618, -73.85542046243157)"
60714894,03/28/2024 11:30:00 PM,03/29/2024 01:24:05 PM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,10467,3329 WEBSTER AVENUE,WEBSTER AVENUE,EAST  209 STREET,PARKSIDE PLACE,EAST  209 STREET,PARKSIDE PLACE,ADDRESS,BRONX,WEBSTER AVENUE,,Closed,,The Department of Sanitation investigated this complaint and found no condition at the location.,03/29/2024 01:24:09 PM,07 BRONX,,BRONX,1019619,258910,ONLINE,Unspecified,BRONX,,,,,,,,40.87725156966743,-73.87210330609916,"(40.87725156966743, -73.87210330609916)"
60709815,03/28/2024 10:03:14 PM,04/02/2024 09:17:11 PM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,11234,2024 EAST   73 STREET,EAST   73 STREET,AVENUE T,AVENUE U,AVENUE T,AVENUE U,ADDRESS,BROOKLYN,EAST   73 STREET,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/02/2024 09:17:15 PM,18 BROOKLYN,3084130045,BROOKLYN,1010027,165814,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62176010422656,-73.90714544082425,"(40.62176010422656, -73.90714544082425)"
60710860,03/28/2024 09:31:19 PM,04/02/2024 09:45:48 PM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,11223,2024 EAST    7 STREET,EAST    7 STREET,AVENUE S,AVENUE T,AVENUE S,AVENUE T,ADDRESS,BROOKLYN,EAST    7 STREET,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/02/2024 09:45:51 PM,15 BROOKLYN,3070880032,BROOKLYN,994042,158339,PHONE,Unspecified,BROOKLYN,,,,,,,,40.60127485731498,-73.96473783874977,"(40.60127485731498, -73.96473783874977)"
60715880,03/28/2024 03:22:04 PM,03/30/2024 01:21:32 PM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,10314,AMSTERDAM AVENUE,AMSTERDAM AVENUE,AMSTERDAM AVENUE,CARNEGIE AVENUE,AMSTERDAM AVENUE,CARNEGIE AVENUE,INTERSECTION,,,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/30/2024 01:21:36 PM,02 STATEN ISLAND,,STATEN ISLAND,938855,159482,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6043013006563,-74.16348031632558,"(40.6043013006563, -74.16348031632558)"
60714893,03/28/2024 02:00:19 PM,03/29/2024 08:39:42 PM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,10457,2265 BATHGATE AVENUE,BATHGATE AVENUE,EAST  182 STREET,EAST  183 STREET,EAST  182 STREET,EAST  183 STREET,ADDRESS,BRONX,BATHGATE AVENUE,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/29/2024 08:39:44 PM,06 BRONX,2030500076,BRONX,1014060,250487,PHONE,Unspecified,BRONX,,,,,,,,40.854153534964745,-73.892242471533,"(40.854153534964745, -73.892242471533)"
60716831,03/28/2024 01:15:58 PM,03/29/2024 12:46:13 PM,DSNY,Department of Sanitation,Dirty Condition,Dog Waste,Sidewalk,10453,55 WEST  180 STREET,WEST  180 STREET,GRAND AVENUE,HARRISON AVENUE,GRAND AVENUE,HARRISON AVENUE,ADDRESS,BRONX,WEST  180 STREET,,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/29/2024 12:46:17 PM,05 BRONX,2032060066,BRONX,1009521,250900,PHONE,Unspecified,BRONX,,,,,,,,40.85530125488399,-73.90864853070981,"(40.85530125488399, -73.90864853070981)"
