Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
30303018,03/31/2015 09:22:00 PM,04/07/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,11213,,,,,PROSPECT PLACE,ROCHESTER AVENUE,INTERSECTION,BROOKLYN,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/07/2015 12:00:00 PM,08 BROOKLYN,,BROOKLYN,1004242,184515,PHONE,Unspecified,BROOKLYN,,,,,,,,40.67310522774656,-73.92792887779113,"(40.67310522774656, -73.92792887779113)"
30298621,03/31/2015 07:45:00 PM,04/01/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,11421,,,,,89 STREET,89 AVENUE,INTERSECTION,Woodhaven,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/01/2015 12:00:00 PM,09 QUEENS,,QUEENS,1024563,190774,ONLINE,Unspecified,QUEENS,,,,,,,,40.690215522788534,-73.85463436788399,"(40.690215522788534, -73.85463436788399)"
30301890,03/31/2015 06:12:00 PM,04/01/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,11435,,,,,147 PLACE,LIBERTY AVENUE,INTERSECTION,Jamaica,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/01/2015 12:00:00 PM,12 QUEENS,,QUEENS,1038537,193048,PHONE,Unspecified,QUEENS,,,,,,,,40.69638242958428,-73.8042269998379,"(40.69638242958428, -73.8042269998379)"
30304037,03/31/2015 05:58:00 PM,04/01/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,10456,,,,,GRAND CONCOURSE,EAST 169 STREET,INTERSECTION,BRONX,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/01/2015 12:00:00 PM,04 BRONX,,BRONX,1007530,244009,PHONE,Unspecified,BRONX,,,,,,,,40.836392968377446,-73.91586966351923,"(40.836392968377446, -73.91586966351923)"
30304029,03/31/2015 04:36:00 PM,04/11/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,11233,308 SUMPTER STREET,SUMPTER STREET,THOMAS S BOYLAND STREET,ROCKAWAY AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/11/2015 12:00:00 PM,16 BROOKLYN,3015270034,BROOKLYN,1008647,187357,PHONE,Unspecified,BROOKLYN,,,,,,,,40.680894828458456,-73.91203858283139,"(40.680894828458456, -73.91203858283139)"
30301891,03/31/2015 04:31:00 PM,04/01/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,10467,,,,,EAST 207 STREET,PERRY AVENUE,INTERSECTION,BRONX,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/01/2015 12:00:00 PM,07 BRONX,,BRONX,1018407,258270,PHONE,Unspecified,BRONX,,,,,,,,40.875499742763246,-73.87648923718476,"(40.875499742763246, -73.87648923718476)"
30298613,03/31/2015 03:17:00 PM,04/04/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,10304,,,,,TARGEE STREET,HAY STREET,INTERSECTION,STATEN ISLAND,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/04/2015 12:00:00 PM,02 STATEN ISLAND,,STATEN ISLAND,958939,159397,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.60414811545276,-74.0911518699704,"(40.60414811545276, -74.0911518699704)"
30302980,03/31/2015 08:23:00 AM,04/01/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,10470,834 PENFIELD STREET,PENFIELD STREET,BARNES AVENUE,WILDER AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/01/2015 12:00:00 PM,12 BRONX,2051180046,BRONX,1026681,268744,PHONE,Unspecified,BRONX,,,,,,,,40.90421162492331,-73.8465043727862,"(40.90421162492331, -73.8465043727862)"
30297512,03/30/2015 04:20:00 PM,03/31/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,10473,,,,,PUGSLEY AVENUE,SEWARD AVENUE,INTERSECTION,BRONX,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/31/2015 12:00:00 PM,09 BRONX,,BRONX,1024484,238168,PHONE,Unspecified,BRONX,,,,,,,,40.82030014847841,-73.85463563477586,"(40.82030014847841, -73.85463563477586)"
30291239,03/30/2015 03:00:00 PM,04/01/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,11104,,,,,SKILLMAN AVENUE,49 STREET,INTERSECTION,Sunnyside,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/01/2015 12:00:00 PM,02 QUEENS,,QUEENS,1007738,211166,PHONE,Unspecified,QUEENS,,,,,,,,40.74624727895461,-73.91523283892349,"(40.74624727895461, -73.91523283892349)"
30290206,03/30/2015 02:11:00 PM,03/31/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,11209,,,,,74 STREET,RIDGE BOULEVARD,INTERSECTION,BROOKLYN,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/31/2015 12:00:00 PM,10 BROOKLYN,,BROOKLYN,975870,169821,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63279201220537,-74.03019163227601,"(40.63279201220537, -74.03019163227601)"
30295535,03/30/2015 01:52:00 PM,03/31/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,11226,3210 SNYDER AVENUE,SNYDER AVENUE,EAST 32 STREET,NEW YORK AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/31/2015 12:00:00 PM,17 BROOKLYN,3049030004,BROOKLYN,998889,175745,PHONE,Unspecified,BROOKLYN,,,,,,,,40.64904398710239,-73.94724546745992,"(40.64904398710239, -73.94724546745992)"
30296527,03/30/2015 10:49:00 AM,04/02/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,11230,1209 EAST   19 STREET,EAST   19 STREET,AVENUE K,AVENUE L,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/02/2015 12:00:00 PM,14 BROOKLYN,3067300010,BROOKLYN,996251,165630,PHONE,Unspecified,BROOKLYN,,,,,,,,40.62128443388824,-73.95677000970403,"(40.62128443388824, -73.95677000970403)"
30291235,03/30/2015 10:43:00 AM,03/31/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,10453,1740 GRAND AVENUE,GRAND AVENUE,WEST 176 STREET,WEST TREMONT AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/31/2015 12:00:00 PM,05 BRONX,2028670108,BRONX,1008178,248685,ONLINE,Unspecified,BRONX,,,,,,,,40.84922548258086,-73.91351120825729,"(40.84922548258086, -73.91351120825729)"
30292273,03/30/2015 08:16:00 AM,04/04/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,10314,369 HAROLD STREET,HAROLD STREET,BUCHANAN AVENUE,FILLMORE AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/04/2015 12:00:00 PM,02 STATEN ISLAND,5008230050,STATEN ISLAND,947129,158347,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.60122448139805,-74.13367710098615,"(40.60122448139805, -74.13367710098615)"
30288817,03/29/2015 10:28:00 PM,03/30/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,10466,4045 BRONXWOOD AVENUE,BRONXWOOD AVENUE,EAST 227 STREET,EAST 228 STREET,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/30/2015 12:00:00 PM,12 BRONX,2048520073,BRONX,1024720,262816,PHONE,Unspecified,BRONX,,,,,,,,40.88795039071319,-73.85363417727693,"(40.88795039071319, -73.85363417727693)"
30285109,03/29/2015 07:58:00 PM,03/30/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,10308,482 BARLOW AVENUE,BARLOW AVENUE,FENWAY CIRCLE,CORTELYOU AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/30/2015 12:00:00 PM,03 STATEN ISLAND,5054910070,STATEN ISLAND,938686,142479,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.5576306422175,-74.1639743100226,"(40.5576306422175, -74.1639743100226)"
30289405,03/29/2015 05:23:00 PM,03/30/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,10040,19 HILLSIDE AVENUE,HILLSIDE AVENUE,BROADWAY,BOGARDUS PLACE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/30/2015 12:00:00 PM,12 MANHATTAN,1021700105,MANHATTAN,1003484,252196,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85887360179936,-73.93046779295905,"(40.85887360179936, -73.93046779295905)"
30288818,03/29/2015 01:15:00 PM,04/01/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,11427,86-43 232 STREET,232 STREET,HILLSIDE AVENUE,87 AVENUE,,,ADDRESS,Queens Village,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/01/2015 12:00:00 PM,13 QUEENS,4079410015,QUEENS,1056962,206189,PHONE,Unspecified,QUEENS,,,,,,,,40.732318969013065,-73.73764008299236,"(40.732318969013065, -73.73764008299236)"
30285715,03/28/2015 05:43:00 PM,03/30/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,10468,2764 JEROME AVENUE,JEROME AVENUE,PARKVIEW TERRACE,,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/30/2015 12:00:00 PM,07 BRONX,,BRONX,1013156,256086,ONLINE,Unspecified,BRONX,,,,,,,,40.86952409638531,-73.895486109999,"(40.86952409638531, -73.895486109999)"
30288228,03/28/2015 05:42:00 PM,03/31/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,11215,24 GARFIELD PLACE,GARFIELD PLACE,4 AVENUE,5 AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/31/2015 12:00:00 PM,06 BROOKLYN,3009640018,BROOKLYN,988902,185305,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67529495154608,-73.98322899995806,"(40.67529495154608, -73.98322899995806)"
30286343,03/28/2015 02:21:00 PM,04/01/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,10460,1902 MARMION AVENUE,MARMION AVENUE,FAIRMOUNT PLACE,ELSMERE PLACE,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/01/2015 12:00:00 PM,06 BRONX,2029600083,BRONX,1015308,246143,PHONE,Unspecified,BRONX,,,,,,,,40.84222624436914,-73.88775131348652,"(40.84222624436914, -73.88775131348652)"
30285761,03/28/2015 12:46:00 PM,03/30/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,10462,1662 WHITEPLAINS ROAD,WHITEPLAINS ROAD,BAKER AVENUE,MEAD STREET,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/30/2015 12:00:00 PM,11 BRONX,2040370028,BRONX,1021505,246467,PHONE,Unspecified,BRONX,,,,,,,,40.84309155857641,-73.86535257536477,"(40.84309155857641, -73.86535257536477)"
30276821,03/27/2015 10:05:00 PM,03/28/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,11379,73-28 67 ROAD,67 ROAD,73 PLACE,75 STREET,,,ADDRESS,Middle Village,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/28/2015 12:00:00 PM,05 QUEENS,4037710027,QUEENS,1017813,198717,ONLINE,Unspecified,QUEENS,,,,,,,,40.71204534903441,-73.87893473883365,"(40.71204534903441, -73.87893473883365)"
30278947,03/27/2015 08:22:00 PM,04/04/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,10312,1 ELLSWORTH AVENUE,ELLSWORTH AVENUE,WOODROW ROAD,SINCLAIR AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/04/2015 12:00:00 PM,03 STATEN ISLAND,,STATEN ISLAND,928634,137019,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.54258667551628,-74.20010413529059,"(40.54258667551628, -74.20010413529059)"
30273734,03/27/2015 08:10:00 PM,04/14/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,11212,995 LENOX ROAD,LENOX ROAD,EAST 91 STREET,EAST 92 STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/14/2015 12:00:00 PM,17 BROOKLYN,3046460049,BROOKLYN,1005715,178535,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.656688011718344,-73.9226377572714,"(40.656688011718344, -73.9226377572714)"
30277876,03/27/2015 06:27:00 PM,04/15/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,11225,,,,,PRESIDENT STREET,BEDFORD AVENUE,INTERSECTION,BROOKLYN,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/15/2015 12:00:00 PM,09 BROOKLYN,,BROOKLYN,996482,182781,PHONE,Unspecified,BROOKLYN,,,,,,,,40.66835990947533,-73.95590680345242,"(40.66835990947533, -73.95590680345242)"
30277860,03/27/2015 05:30:00 PM,03/30/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,10473,2040 BRUCKNER BOULEVARD,BRUCKNER BOULEVARD,PUGSLEY AVENUE,OLMSTEAD AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,03/30/2015 12:00:00 PM,09 BRONX,2036820001,BRONX,1024397,240317,ONLINE,Unspecified,BRONX,,,,,,,,40.8261989321845,-73.85493710507038,"(40.8261989321845, -73.85493710507038)"
30276896,03/27/2015 05:01:00 PM,04/13/2015 12:00:00 PM,DSNY,Department of Sanitation,Dirty Conditions,E8 Canine Violation,Sidewalk,11221,59 SUYDAM STREET,SUYDAM STREET,BUSHWICK AVENUE,MYRTLE AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Sanitation investigated this complaint and found no violation at the location.,04/13/2015 12:00:00 PM,04 BROOKLYN,3032050037,BROOKLYN,1003490,193211,PHONE,Unspecified,BROOKLYN,,,,,,,,40.69697541936386,-73.93061500390142,"(40.69697541936386, -73.93061500390142)"
